Time (UTC),Open,High,Low,Close,Volume 
2003.12.02 19:22:00,1.20751,1.20786,1.20731,1.20767,4466.6
2003.12.02 19:23:00,1.20754,1.20787,1.20738,1.2078,2158.5
2003.12.02 19:24:00,1.20785,1.20809,1.20761,1.20774,2407.5
2003.12.02 19:25:00,1.20782,1.20792,1.20769,1.20774,1202.6
2003.12.02 19:26:00,1.2077,1.20817,1.2077,1.20802,1697.8
2003.12.02 19:27:00,1.20803,1.20824,1.2078,1.20794,1281.6
2003.12.02 19:28:00,1.20789,1.2082,1.20783,1.20783,848.5
2003.12.02 19:29:00,1.20801,1.20808,1.20788,1.20788,439.1
2003.12.02 19:30:00,1.20798,1.20821,1.20792,1.20792,369.5
2003.12.02 19:31:00,1.20818,1.2083,1.20803,1.20827,531.4
2003.12.02 19:32:00,1.20823,1.20826,1.20791,1.2081,4476.7
2003.12.02 19:33:00,1.20808,1.20844,1.20803,1.20812,1229.4
2003.12.02 19:34:00,1.20805,1.20846,1.208,1.20815,1299.7
2003.12.02 19:35:00,1.20837,1.20838,1.20808,1.20808,1357.8
2003.12.02 19:36:00,1.2081,1.20838,1.20808,1.20822,811.3
2003.12.02 19:37:00,1.20824,1.20844,1.20798,1.20805,985.4
2003.12.02 19:38:00,1.20797,1.20819,1.20775,1.20819,997
2003.12.02 19:39:00,1.20799,1.20814,1.20793,1.20795,571.7
2003.12.02 19:40:00,1.20787,1.20808,1.20778,1.20784,2433.7
2003.12.02 19:41:00,1.20774,1.20802,1.20761,1.20764,975.9
2003.12.02 19:42:00,1.20773,1.20796,1.20765,1.20785,1460.3
2003.12.02 19:43:00,1.20799,1.20824,1.20774,1.20774,1355.4
2003.12.02 19:44:00,1.20786,1.20806,1.20766,1.20769,2855.5
2003.12.02 19:45:00,1.20775,1.20795,1.20768,1.2078,2197.9
2003.12.02 19:46:00,1.20759,1.20787,1.20742,1.20753,2138
2003.12.02 19:47:00,1.20753,1.20766,1.20723,1.20739,2564.5
2003.12.02 19:48:00,1.20752,1.20759,1.20726,1.20726,606.7
2003.12.02 19:49:00,1.20727,1.20743,1.20719,1.20732,499.2
2003.12.02 19:50:00,1.20753,1.20782,1.20728,1.20728,762.8
2003.12.02 19:51:00,1.20745,1.20785,1.20734,1.20753,1256.2
2003.12.02 19:52:00,1.20756,1.20766,1.20753,1.20764,826
2003.12.02 19:53:00,1.20753,1.2076,1.20731,1.20753,1980.5
2003.12.02 19:54:00,1.20746,1.20779,1.20739,1.20744,1495.8
2003.12.02 19:55:00,1.20745,1.20768,1.2074,1.20747,1291.7
2003.12.02 19:56:00,1.20735,1.20775,1.20734,1.20775,673.9
2003.12.02 19:57:00,1.20765,1.20798,1.20765,1.20785,1877.9
2003.12.02 19:58:00,1.20761,1.20792,1.20749,1.20759,627.2
2003.12.02 19:59:00,1.20758,1.20797,1.20749,1.20762,1569.6
2003.12.02 20:00:00,1.20751,1.20777,1.20743,1.20768,768.2
2003.12.02 20:01:00,1.20763,1.20788,1.20742,1.20754,1771.2
2003.12.02 20:02:00,1.20749,1.20768,1.20737,1.20768,1661.6
2003.12.02 20:03:00,1.20764,1.20767,1.20728,1.20736,1226.2
2003.12.02 20:04:00,1.20741,1.20757,1.20712,1.20741,1295.7
2003.12.02 20:05:00,1.20732,1.2076,1.2072,1.20739,826.3
2003.12.02 20:06:00,1.20741,1.20758,1.20714,1.20744,1666.6
2003.12.02 20:07:00,1.20758,1.20758,1.20733,1.20733,597.2
2003.12.02 20:08:00,1.20732,1.2075,1.20729,1.20748,1420.2
2003.12.02 20:09:00,1.20731,1.20747,1.20721,1.20721,711.4
